Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Quickswap V3,https://quickswap.exchange/,"QuickSwap is a decentralized exchange that runs on Polygon Network to offer cheaper and faster transactions. Its automated market maker integrates upgradeable smart contracts on Ethereum and renders intermediaries obsolete. The exchange is based on open-source software and prioritizes decentralization, censorship resistance and security. It benefits from ultra-low gas prices compared to Ethereum, as well as fast and simple trading execution","['Polygon', 'Polygon zkEVM', 'Dogechain']",QuickswapDEX,48602836.58531992,"{'Dogechain': 975549.2115988869, 'Polygon zkEVM': 6240040.189391564, 'Polygon': 41387247.18432947}",Dexes
Joe V2.1,https://traderjoexyz.com/arbitrum/trade,"Joe V2.1 is an optimized protocol that supports all router and quoter versions, enhancing gas efficiency, events, functions, and providing better transfer options across pair versions","['Arbitrum', 'Avalanche', 'Binance', 'Ethereum']",traderjoe_xyz,48078029.83887346,"{'Arbitrum-staking': 10340429.588382864, 'Binance': 1331123.2642229004, 'Ethereum': 1001547.5298015367, 'Avalanche': 21104308.283078853, 'Arbitrum': 24641050.76177017, 'staking': 10340429.588382864}",Dexes
Bancor V3,https://app.bancor.network/,"Bancor is an on-chain liquidity protocol that enables automated, decentralized exchange on Ethereum and across blockchains.",['Ethereum'],Bancor,46942726.89633878,{'Ethereum': 46942726.89633878},Dexes
Camelot V2,https://camelot.exchange/,"Camelot is an ecosystem-focused and community-driven DEX built on Arbitrum. It has been built as a highly efficient and customizable protocol, allowing both builders and users to leverage our custom infrastructure for deep, sustainable, and adaptable liquidity. Camelot moves beyond the traditional design of DEXs to focus on offering a tailored approach that prioritises composability",['Arbitrum'],CamelotDEX,44830851.76827744,{'Arbitrum': 44830851.76827744},Dexes
KyberSwap Elastic,https://kyberswap.com/#/swap,KyberSwap is both a decentralized exchange (DEX) aggregator and a liquidity source with capital-efficient liquidity pools that earns fees for liquidity providers,"['Arbitrum', 'Optimism', 'Polygon', 'Linea', 'Ethereum', 'Binance', 'Avalanche', 'Fantom', 'Cronos']",KyberNetwork,42169297.30402483,"{'Optimism': 11666096.397883544, 'Cronos': 3167.990375550315, 'Binance': 1149554.578602369, 'Ethereum': 1995813.5532872607, 'Linea': 2870712.9400238465, 'Avalanche': 1032095.2548940117, 'Polygon': 7385907.943241782, 'Arbitrum': 16028978.91375388, 'Fantom': 36969.731962582286}",Dexes
Maverick Protocol,https://www.mav.xyz,"The DeFi infrastructure built to bring higher capital efficiency + greater capital control to the liquidity market, powered by Maverick AMM.","['Ethereum', 'zkSync Era', 'Base', 'Binance']",mavprotocol,40936129.995475836,"{'Binance': 1281859.346662884, 'Ethereum': 30256854.9324328, 'zkSync Era': 7999155.564459506, 'Base': 1398260.1519206457}",Dexes
Minswap,https://minswap.org,Minswap aims to be the best liquidity provider on the market by integrating the best asset pool models from across the DEX ecosystem into one protocol.,['Cardano'],MinswapDEX,40438669.56734834,{'Cardano': 40438669.56734834},Dexes
Orca,https://www.orca.so,AMM,['Solana'],orca_so,37218639.259183355,{'Solana': 37218639.259183355},Dexes
xExchange,https://xexchange.com/,xExchange is a DEX AMM running on the MultiversX Network. It is built by the same team that has built the MultiversX blockchain.,['Elrond'],MaiarExchange,36033399.21524671,"{'Elrond-staking': 27454305.36260146, 'Elrond': 36033399.21524671, 'staking': 27454305.36260146}",Dexes
DODO,https://dodoex.io/,Trade crypto assets with market-leading liquidity,"['Ethereum', 'Binance', 'Arbitrum', 'Polygon', 'Aurora']",BreederDodo,32048534.072476245,"{'Binance': 11634870.567572689, 'Ethereum': 13981681.371944247, 'Aurora': 63290.787955379834, 'Polygon': 3009882.7729776865, 'Arbitrum': 3358808.572026246}",Dexes
Wombat Exchange,https://www.wombat.exchange/,Hyper efficient multi-chain stableswap. #BNB and beyond.,"['Binance', 'Arbitrum', 'Ethereum']",WombatExchange,30908976.567270987,"{'Arbitrum-staking': 681730.8235450813, 'Binance': 24000518.421825368, 'Ethereum': 1971654.4773981285, 'Binance-staking': 2486350.105228868, 'Ethereum-staking': 0, 'Arbitrum': 4936803.668047491, 'staking': 3168080.928773949}",Dexes
Astroport,https://astroport.fi,The meta AMM of Cosmos,"['Neutron', 'Terra2', 'Injective', 'Sei']",astroport_fi,30707226.84634296,"{'Sei': 3118777.9935030444, 'Neutron': 18734234.982692357, 'Injective': 3518233.5039379606, 'Terra2': 5335980.3662095945}",Dexes
Raydium,https://raydium.io,An on-chain order book AMM powering the evolution of DeFi.,['Solana'],RaydiumProtocol,30572965.33337772,"{'Solana-staking': 4739740.2397093335, 'Solana': 30572965.33337772, 'staking': 4739740.2397093335}",Dexes
Flamingo Finance,https://flamingo.finance/,An Interoperable Full-Stack DeFi Protocol on Neo,['NEO'],FlamingoFinance,28858127.664387185,{'NEO': 28858127.664387185},Dexes
MDEX,https://mdex.com/,AMM,"['Binance', 'Heco', 'Bittorrent']",Mdextech,28579437.560367364,"{'Binance': 15645229.52540023, 'Bittorrent': 2140.7636193435064, 'Heco': 12932067.271347791}",Dexes
Ferro,https://ferroprotocol.com,a stableswap AMM protocol on Cronos,['Cronos'],FerroProtocol,27265374.541641753,{'Cronos': 27265374.541641753},Dexes
SaucerSwap,https://www.saucerswap.finance,SaucerSwap is an automated market maker protocol that leverages the Hedera Smart Contract Service to include Solidity smart contract integration with the Hedera Token Service.,['Hedera'],SaucerSwapLabs,27064516.4766,{'Hedera': 27064516.4766},Dexes
THENA FUSION,https://www.thena.fi,"THENA FUSION is the concentrated liquidity protocol on BSC chain, powered by Algebra Protocol",['Binance'],ThenaFi_,26211761.36974893,{'Binance': 26211761.36974893},Dexes
Canto Dex,https://app.slingshot.finance/swap/CANTO,Dex on canto blockchain,['Canto'],CantoPublic,23867933.941969693,{'Canto': 23867933.941969693},Dexes
Trader Joe DEX,https://www.traderjoexyz.com,Trader Joe is your one-stop decentralized trading platform on the Avalanche network.,"['Avalanche', 'Binance']",traderjoe_xyz,23649614.259563733,"{'Binance': 18392.578575905125, 'Avalanche': 23631221.680987827, 'Avalanche-staking': 1111135.9711932621, 'staking': 1111135.9711932621}",Dexes
OKCSwap,https://www.okx.com/okc/swap,OKC Swap is the official AMM dex based on OKX Chain.,['OKExChain'],,23419239.301355716,{'OKExChain': 23419239.301355716},Dexes
ShibaSwap,https://shibaswap.com,"SHIB, LEASH, and BONE, come together to create ShibaSwap, the next evolution in DeFi platforms. ShibaSwap gives users the ability to DIG (provide liquidity), BURY (stake), and SWAP tokens to gain WOOF Returns through our sophisticated and innovative passive income reward system.",['Ethereum'],ShibaSwapDEX,22950057.250524305,{'Ethereum': 22950057.250524305},Dexes
PHUX,https://phux.io,"PHUX is a fork of Balancer V2, referred to as Pulse & Hex Universe Xchange. It is a programmable liquidity protocol and decentralized automated market maker (AMM) built on PulseChain and Ethereum. PHUX serves as a versatile component for customizable liquidity solutions, offering a flexible building block for tailorable liquidity needs.",['Pulse'],PHUXGiven,22708147.84712923,{'Pulse': 22708147.84712923},Dexes
Agni Finance,https://agni.finance/,"Agni Finance is a high-capital efficiency, AMM-based DEX and launchpad built to support the Mantle Network ecosystem.",['Mantle'],Agnidex,20226916.86908629,{'Mantle': 20226916.86908629},Dexes
Bancor V2.1,https://app.bancor.network/,"Bancor is an on-chain liquidity protocol that enables automated, decentralized exchange on Ethereum and across blockchains.",['Ethereum'],Bancor,20083037.127395723,{'Ethereum': 20083037.127395723},Dexes
SmarDex,https://smardex.io,SMARDEX sophisticated fine-tuned algorithm transforms impermanent loss to impermanent gain!,"['Ethereum', 'Arbitrum', 'Base', 'Binance', 'Polygon']",SmarDex,19936083.390779987,"{'Base': 2378595.0933185243, 'Binance': 2150373.538415754, 'Ethereum': 8424429.827421151, 'Ethereum-staking': 47499396.860337675, 'Polygon': 1103558.1947648018, 'Arbitrum': 5879126.7368597565, 'staking': 47499396.860337675}",Dexes
Helix,https://helixapp.com,The premier decentralized crypto exchange. Trade unlimited cross-chain spot and futures markets.,['Injective'],HelixApp_,19053888.33995613,{'Injective': 19053888.33995613},Dexes
Mute.io,https://app.mute.io,"A zkRollup based DEX w/ limit orders, farming platform, and Bond platform. Built on Ethereum and zkSync.",['zkSync Era'],mute_io,18850905.62486197,"{'zkSync Era': 18850905.62486197, 'zkSync Era-staking': 2264863.114366153, 'staking': 2264863.114366153}",Dexes
Beethoven X,https://beets.fi,"We leverage best in breed DeFi protocols to offer novel decentralized investment strategies. Built on Balancer V2, Beethoven X is the first next-generation AMM protocol on Fantom.","['Optimism', 'Fantom']",beethoven_x,18812460.492752705,"{'Optimism': 14470181.308076411, 'Fantom': 4342279.184676293}",Dexes
iZiSwap,https://izumi.finance/trade/swap,A next-generation DEX on BNB Chain to maximize capital efficiency with the innovative Discretized-Liquidity-AMM model,"['Mantle', 'zkSync Era', 'Linea', 'Aurora', 'Binance', 'Arbitrum', 'OntologyEVM', 'Meter', 'Ultron', 'Polygon', 'Cronos', 'Ethereum']",izumi_Finance,18712756.60816602,"{'OntologyEVM': 8621.426068903997, 'Ultron': 728.1469196098717, 'Cronos': 2.040654627111298, 'Mantle': 10315861.787795635, 'Meter': 1143.1013455900222, 'Binance': 181153.83855382443, 'Ethereum': 0, 'zkSync Era': 6485316.3903964665, 'Aurora': 324280.58150320646, 'Linea': 1384666.7995310146, 'Polygon': 313.79904089297384, 'Arbitrum': 10668.69635624977}",Dexes
DefiBox,https://defibox.io,"Defibox is a one-stop DeFi application platform. The project was launched on EOS chain (https://defibox.io) on July 21, 2020 and Swap protocol was launched on BSC chain(https://bscdapp.defibox.io/) on July 21, 2021. Currently, Defibox has launched three protocols, namely Swap protocol, USN stable coin protocol and decentralized lending protocol.","['EOS', 'Wax', 'Binance']",DefiboxOfficial,18530225.362853277,"{'Binance': 42798.629785530866, 'EOS': 18402768.8352413, 'EOS-borrowed': 183201.94489878014, 'borrowed': 183201.94489878014, 'Wax': 84657.89782644794}",Dexes
Tezos Liquidity Baking,https://liquidity-baking.com,A new Decentralized Exchange contract added to the Tezos protocol between XTZ and tzBTC.,['Tezos'],tezos,17035434.87386215,{'Tezos': 17035434.87386215},Dexes
SpookySwap,https://spooky.fi/#/,Automated Market Maker.,['Fantom'],SpookySwap,16338698.15014205,{'Fantom': 16338698.15014205},Dexes
Retro,https://retro.finance/,"Unique concentrated liquidity AMM on Polygon with ve(3,3) mechanics, oTokenomics and Merkl distributed emissions",['Polygon'],Retro_finance,15948339.569504408,{'Polygon': 15948339.569504408},Dexes
rhino.fi,https://app.rhino.fi,"rhino.fi is the multichain DeFi aggregator that helps you effortlessly explore the best opportunities at the click of a button. Trade. Swap. Invest. Earn. Bridge. All from your Layer 2 wallet. We want to truly aggregate the best of DeFi - with users at the heart of it. We’re the first layer 2 project to maximise the benefits of a rollup for user experience. We're powering up our rollup, aggregating all major layer 2 and alt chains, tokens and investment opportunities in one place. Bringing you cross-chain swapping, yield and bridging right now.","['Ethereum', 'Arbitrum', 'Polygon']",rhinofi,15588911.5210783,"{'Ethereum': 14793665.205482965, 'Polygon': 361020.6774734148, 'Arbitrum': 434225.6381219192}",Dexes
BabyDogeSwap,https://babydogeswap.com,"Meme of BSC hold, pet, love, & help save dogs! BSC Farms & Swap",['Binance'],BabyDogeCoin,14999807.103948897,"{'Binance': 14999807.103948897, 'Binance-staking': 623549.789968116, 'staking': 623549.789968116}",Dexes
ALEX,https://alexlab.co/,Next Gen DeFi on Bitcoin via Stacks. Building Financial Infrastructure on Bitcoin through Stacks,['Stacks'],@ALEXLabBTC,14903453.981661357,"{'staking': 14541251.1510348, 'Stacks': 14903453.981661357, 'Stacks-staking': 14541251.1510348}",Dexes
ArthSwap,https://app.arthswap.org/#/swap,"ArthSwap is the No.1 decentralized exchange with the largest community on Astar Network. It has very high APY and simple UI, quite easy to use.",['Astar'],arthswap,14848856.343381658,"{'Astar': 14848856.343381658, 'Astar-staking': 8872.88238677431, 'staking': 8872.88238677431}",Dexes
Pangolin,https://pangolin.exchange,Pangolin is a community-driven DEX that runs on multiple blockchains. ,"['Avalanche', 'Hedera', 'Songbird', 'Flare']",pangolindex,14747778.986728542,"{'Songbird': 41583.05690562287, 'Flare': 34298.33099653263, 'Songbird-staking': 16560.98077983059, 'Hedera': 234688.57865074728, 'Avalanche': 14437209.02017564, 'Avalanche-staking': 1570708.1523100922, 'staking': 1587269.1330899228}",Dexes
Sovryn Dex,https://www.sovryn.app/,"Sovryn is a non-custodial and permission-less smart contract based system for bitcoin lending, borrowing and margin trading.",['RSK'],SovrynBTC,14532142.819999998,{'RSK': 14532142.819999998},Dexes
Serum,https://projectserum.com/,Serum is a decentralized exchange (DEX) and ecosystem that brings unprecedented speed and low transaction costs to decentralized finance.,['Solana'],ProjectSerum,14021484.90252459,{'Solana': 14021484.90252459},Dexes
StellarX,https://www.stellarx.com,We're fast. We're free. And we're the first decentralized crypto platform with global fiat gateways. You can trade bitcoin for Euros for Chinese Yuan on StellarX. That’s not possible anywhere else.,['Stellar'],stellarxhq,13875900.738989197,{'Stellar': 13875900.738989197},Dexes
Alien Base AMM,https://app.alienbase.xyz/,Alienbase is a DEX built on Base,['Base'],AlienBaseDEX,13745759.086291723,{'Base': 13745759.086291723},Dexes
LiquidSwap,https://liquidswap.com/,"Liquidswap is the first AMM on Aptos, the safest and most scalable L1 blockchain. The DEX runs on Aptos mainnet.",['Aptos'],PontemNetwork,13487597.87552434,{'Aptos': 13487597.87552434},Dexes
KyberSwap Classic,https://kyberswap.com/#/swap,KyberSwap is both a decentralized exchange (DEX) aggregator and a liquidity source with capital-efficient liquidity pools that earns fees for liquidity providers,"['Bittorrent', 'Polygon', 'Ethereum', 'Avalanche', 'zkSync Era', 'Binance', 'Optimism', 'Cronos', 'Arbitrum', 'Fantom', 'Linea', 'Velas', 'Oasis', 'Aurora']",KyberNetwork,13443433.32123394,"{'Optimism': 4987.9434141903, 'Cronos': 119.68117988945133, 'Velas': 3.8290082845879687, 'Bittorrent': 8723323.590589905, 'Binance': 132035.00310471485, 'Ethereum': 1624887.5086397787, 'zkSync Era': 211046.5582134248, 'Aurora': 1.0299160482222926e-06, 'Oasis': 3.359498454622008, 'Linea': 13.560695264512814, 'Avalanche': 241868.92766839545, 'Polygon': 2505068.9718719134, 'Arbitrum': 47.8793393443198, 'Fantom': 26.50800934729427}",Dexes
ApeSwap AMM,https://apeswap.finance,"ApeSwap is a Decentralized Autonomous Organization (DAO) that offers a full suite of tools to explore and engage with decentralized finance opportunities. Using the products within our DeFi Hub, users and partners can tap into this new wave of financial innovation in a secure, transparent, and globally accessible way.","['Binance', 'Polygon', 'Arbitrum', 'Telos', 'Ethereum']",ape_swap,12798220.106907967,"{'Binance': 10522483.589941027, 'Ethereum': 498.77545862341185, 'Binance-staking': 2254377.837513571, 'Polygon': 2171483.043339067, 'Telos': 19561.681704909803, 'Arbitrum': 84193.01646433925, 'staking': 2254377.837513571}",Dexes
SushiSwap V3,https://sushi.com/,SushiSwap V3: A Uniswap V3 fork,"['ThunderCore', 'Arbitrum', 'Base', 'Ethereum', 'Polygon', 'Optimism', 'CORE', 'Binance', 'Arbitrum Nova', 'xDai', 'Fantom', 'Avalanche', 'Polygon zkEVM', 'Fuse', 'Moonriver', 'Moonbeam']",SushiSwap,12704572.42516648,"{'Optimism': 785421.1390135516, 'Polygon zkEVM': 8974.969822196867, 'Moonriver': 42.151512928928604, 'Arbitrum Nova': 130122.3329189775, 'ThunderCore': 3238314.83925293, 'Base': 2091862.0132563903, 'Moonbeam': 0, 'Binance': 203952.52441015438, 'Ethereum': 1994523.6063699115, 'xDai': 22694.24707301743, 'Avalanche': 13308.53638728664, 'Polygon': 956312.0771382165, 'Arbitrum': 2665466.094073228, 'Fuse': 2852.529975405009, 'CORE': 575500.838171873, 'Fantom': 15224.52579041163}",Dexes
Camelot V3,https://camelot.exchange/,Concentrated liquidity AMM on Arbitrum,['Arbitrum'],CamelotDEX,12483976.160518073,{'Arbitrum': 12483976.160518073},Dexes
